Nome,Cognome,Team,Completions,Attempts,Yards,TDs,Ints,Rating
Kyle,Orton,DEN,293,498,3653,20,9,87.5
Jason,Campbell,OAK,194,329,2387,13,8,84.5
Peyton,Manning,IND,450,679,4700,33,17,91.9
Drew,Brees,NO,448,658,4620,33,22,90.9
Matt,Ryan,ATL,357,571,3705,28,9,91.0
Matt,Cassel,KC,262,450,3116,27,7,93.0
Mark,Sanchez,NYJ,278,507,3291,17,13,75.3
Brett,Favre,MIN,217,358,2509,11,19,69.9
David,Garrard,JAC,236,366,2734,23,15,90.8
Eli,Manning,NYG,339,539,4002,31,25,85.3
Carson,Palmer,CIN,362,586,3970,26,20,82.4
Alex,Smith,SF,204,342,2370,14,10,82.1
Chad,Henne,MIA,301,490,3301,15,19,75.4
Tony,Romo,DAL,148,213,1605,11,7,94.9
Jay,Cutler,CHI,261,432,3274,23,16,86.3
Jon,Kitna,DAL,209,318,2365,16,12,88.9
Tom,Brady,NE,324,492,3900,36,4,111.0
Ben,Roethlisberger,PIT,240,389,3200,17,5,97.0
Kerry,Collins,TEN,160,278,1823,14,8,82.2
Derek,Anderson,ARI,169,327,2065,7,10,65.9
Ryan,Fitzpatrick,BUF,255,441,3000,23,15,81.8
Donovan,McNabb,WAS,275,472,3377,14,15,77.1
Kevin,Kolb,PHI,115,189,1197,7,7,76.1
Aaron,Rodgers,GB,312,475,3922,28,11,101.2
Sam,Bradford,STL,354,590,3512,18,15,76.5
Shaun,Hill,DET,257,416,2686,16,12,81.3
