FirstName,LastName,Team,Yards,TDs,Ints,Comp%,Rating
Philip,Rivers,SD,4710,30,13,66.0,101.8
Matt,Hasselbeck,SEA,3001,12,17,59.9,73.2
Jimmy,Clausen,CAR,1558,3,9,52.5,58.4
Jason,Campbell,OAK,2387,13,8,59.0,84.5
Peyton,Manning,IND,4700,33,17,66.3,91.9
Drew,Brees,NO,4620,33,22,68.1,90.9
Matt,Ryan,ATL,3705,28,9,62.5,91.0
Matt,Cassel,KC,3116,27,7,58.2,93.0
Mark,Sanchez,NYJ,3291,17,13,54.8,75.3
David,Garrard,JAC,2734,23,15,64.5,90.8
Eli,Manning,NYG,4002,31,25,62.9,85.3
Carson,Palmer,CIN,3970,26,20,61.8,82.4
Jon,Kitna,DAL,2365,16,12,65.7,88.9
Tom,Brady,NE,3900,36,4,65.9,111.0
Ben,Roethlisberger,PIT,3200,17,5,61.7,97.0
Kerry,Collins,TEN,1823,14,8,57.6,82.2
Derek,Anderson,ARI,2065,7,10,51.7,65.9
Ryan,Fitzpatrick,BUF,3000,23,15,57.8,81.8
Donovan,McNabb,WAS,3377,14,15,58.3,77.1
Kevin,Kolb,PHI,1197,7,7,60.8,76.1
Sam,Bradford,STL,3512,18,15,60.0,76.5
Shaun,Hill,DET,2686,16,12,61.8,81.3
